"id, name, release year, developer, publisher, img_url, src_url, genres, description"
1105,The Chessmaster 2000,1986,[Software Toolworks],[Software Toolworks],https://en.wikipedia.org/wiki/File:Chessmaster_2000_cover.png,https://en.wikipedia.org/wiki/The_Chessmaster_2000,Strategy,description
1106,The Chessmaster 3000,1994,[Software Toolworks],[Software Toolworks],https://en.wikipedia.org/wiki/File:Chessmaster_2000_cover.png,https://en.wikipedia.org/wiki/Chessmaster,Strategy,description
1107,The Chessmaster 4000,1996,[Mindscape],[Mindscape],https://en.wikipedia.org/wiki/File:Chessmaster_2000_cover.png,https://en.wikipedia.org/wiki/Chessmaster,Strategy,description
1108,Chessmaster 6000,1998,[Mindscape],[Mindscape],https://en.wikipedia.org/wiki/File:Chessmaster_2000_cover.png,https://en.wikipedia.org/wiki/Chessmaster,Strategy,description
1109,ChipWits,1984,[BrainPower],[BrainPower],https://en.wikipedia.org/wiki/File:ChipWits.jpg,https://en.wikipedia.org/wiki/ChipWits,Simulation,description
1110,Citadel: Adventure of the Crystal Keep,1989,"[Postcraft International, Inc.]","[Postcraft International, Inc.]",https://en.wikipedia.org/wiki/File:Citadel_Adventure_of_the_Crystal_Keep.jpg,https://en.wikipedia.org/wiki/Citadel:_Adventure_of_the_Crystal_Keep,RPG,description
1111,Citadel of the Dead,1994,[Affiliate Venture publishing],[Affiliate Venture publishing],https://en.wikipedia.org/wiki/File:Citadel_of_the_Dead_(Cover).jpg,https://en.wikipedia.org/wiki/Citadel_of_the_Dead,Role playing,description
1112,Sid Meier's Civilization,1991,[MicroProse],[MicroProse],https://en.wikipedia.org/wiki/File:Civilizationboxart.jpg,https://en.wikipedia.org/wiki/Civilization_(video_game),Turn-based strategy,description
1113,Sid Meier's Civilization II,1997,[MicroProse],[MicroProse],https://en.wikipedia.org/wiki/File:Civ2boxart.jpg,https://en.wikipedia.org/wiki/Civilization_II,Turn-based strategy,description
1114,Sid Meier's Civilization III,2001,[MicroProse/MacSoft],[MicroProse/MacSoft],https://en.wikipedia.org/wiki/File:Civilization_III_Coverart.png,https://en.wikipedia.org/wiki/Civilization_III,Turn-based strategy,description
1115,Civilization: Call to Power,1999,[Activision],[Activision],https://en.wikipedia.org/wiki/File:CTPopeningscreen.jpg,https://en.wikipedia.org/wiki/Civilization:_Call_to_Power,Turn-based strategy,description
1116,Clive Barker's Undying,2002,[Aspyr Media],[Aspyr Media],https://en.wikipedia.org/wiki/File:Undyingcover.jpg,https://en.wikipedia.org/wiki/Clive_Barker%27s_Undying,First-person shooter,description
1117,ClockWerx,1995,[Callisto Corporation],[Callisto Corporation],https://en.wikipedia.org/wiki/File:Clockwerx.jpg,https://en.wikipedia.org/wiki/ClockWerx,Puzzle,description
1118,Collapse,1999,[GameHouse],[GameHouse],n/a,https://en.wikipedia.org/wiki/Collapse_(video_game),Puzzle,description
1119,The Colony,1988,[David Alan Smith],[David Alan Smith],https://en.wikipedia.org/wiki/File:The_colony.jpg,https://en.wikipedia.org/wiki/The_Colony_(video_game),First-person shooter,description
1120,Colossal Cave Adventure,1976,[William Crowther],[William Crowther],https://en.wikipedia.org/wiki/File:ADVENT_--_Crowther_Woods.png,https://en.wikipedia.org/wiki/Colossal_Cave_Adventure,Interactive fiction,description
1121,Command & Conquer,1995,[Westwood Studios],[Westwood Studios],https://en.wikipedia.org/wiki/File:Logo_of_Command_%26_Conquer.png,https://en.wikipedia.org/wiki/Command_%26_Conquer,Real-time strategy,description
1122,Conquest of the New World,1996,[MacPlay],[MacPlay],https://en.wikipedia.org/wiki/File:Conquest_of_the_New_World_cover.jpg,https://en.wikipedia.org/wiki/Conquest_of_the_New_World,Strategy,description
1123,Corruption,1988,[Magnetic Scrolls],[Magnetic Scrolls],https://en.wikipedia.org/wiki/File:Corruption_Cover.jpg,https://en.wikipedia.org/wiki/Corruption_(interactive_fiction),Interactive fiction,description
1124,Cosmic Osmo,1989,[Cyan Worlds],[Cyan Worlds],https://en.wikipedia.org/wiki/File:Cosmic_Osmo_and_the_Worlds_Beyond_the_Mackerel_Cover.jpg,https://en.wikipedia.org/wiki/Cosmic_Osmo,Adventure,description
1125,Cro-Mag Rally,1998,[Aspyr Media],[Aspyr Media],n/a,https://en.wikipedia.org/wiki/Cro-Mag_Rally,Racing,description
1126,Crosscountry Canada 2,2002,[Ingenuity Works],[Ingenuity Works],https://en.wikipedia.org/wiki/File:Cross_Country_USA_Cover.jpg,https://en.wikipedia.org/wiki/Crosscountry_Canada_2,Educational,description
1127,Cryptogram,1989,[Leslie Thomas],[Leslie Thomas],,https://en.wikipedia.org/wiki/HyperCard,Puzzle,description
1128,Crystal Caliburn,1993,[LittleWing],[LittleWing],https://en.wikipedia.org/wiki/File:Crystal_Caliburn.jpg,https://en.wikipedia.org/wiki/Crystal_Caliburn,Arcade/pinball,description
1129,Crystal Quest,1987,[Casady & Greene],[Casady & Greene],https://en.wikipedia.org/wiki/File:Crystal_Quest_coverart.jpg,https://en.wikipedia.org/wiki/Crystal_Quest,Arcade,description
1130,Damage Incorporated,1997,[Paranoid Productions],[Paranoid Productions],https://en.wikipedia.org/wiki/File:Damage_Incorporated_cover.jpg,https://en.wikipedia.org/wiki/Damage_Incorporated,First-person shooter,description
1131,Darby the Dragon,1996,[Brøderbund],[Brøderbund],https://en.wikipedia.org/wiki/File:Darby_the_Dragon_CD_Cover.jpg,https://en.wikipedia.org/wiki/Darby_the_Dragon,Adventure,description
1132,Dark Castle,1986,[Silicon Beach Software],[Silicon Beach Software],https://en.wikipedia.org/wiki/File:Dark_Castle_Coverart.png,https://en.wikipedia.org/wiki/Dark_Castle,Platforming,description
1133,Dark Colony,1997,[Strategic Simulations Inc. (SSI)],[Strategic Simulations Inc. (SSI)],https://en.wikipedia.org/wiki/File:Dark_Colony_Coverart.png,https://en.wikipedia.org/wiki/Dark_Colony,Real-time strategy,description
1134,Dark Seed,1992,[Cyberdreams],[Cyberdreams],https://en.wikipedia.org/wiki/File:Dark_Seed_Cover.jpg,https://en.wikipedia.org/wiki/Dark_Seed_(video_game),Adventure,description
1135,Darwin's Dilemma,1990,[Inline Design],[Inline Design],n/a,https://en.wikipedia.org/wiki/Darwin%27s_Dilemma,Puzzle,description
1136,Day of the Tentacle,1993,[LucasArts],[LucasArts],https://en.wikipedia.org/wiki/File:Day_of_the_Tentacle_artwork.jpg,https://en.wikipedia.org/wiki/Day_of_the_Tentacle,Adventure,description
1137,The Daedalus Encounter,1995,[Virgin Interactive],[Virgin Interactive],https://en.wikipedia.org/wiki/File:3DO-Daedalus-Encounter.jpg,https://en.wikipedia.org/wiki/The_Daedalus_Encounter,Adventure/puzzle,description
1138,Deadline,1982,[Infocom],[Infocom],https://en.wikipedia.org/wiki/File:Deadline_box_art.jpg,https://en.wikipedia.org/wiki/Deadline_(video_game),Interactive fiction,description
1139,Deimos Rising,2001,[Ambrosia Software],[Ambrosia Software],https://en.wikipedia.org/wiki/File:Deimos_Rising_coverart.jpg,https://en.wikipedia.org/wiki/Deimos_Rising,Top-down shooter,description
1140,Deja Vu: a Nightmare Comes True,1985,"[ICOM Simulations, Inc.]","[ICOM Simulations, Inc.]",https://en.wikipedia.org/wiki/File:Deja_Vu_cover.png,https://en.wikipedia.org/wiki/Deja_Vu:_a_Nightmare_Comes_True,Adventure,description
1141,Deja Vu II: Lost in Las Vegas,1988,"[ICOM Simulations, Inc.]","[ICOM Simulations, Inc.]",https://en.wikipedia.org/wiki/File:Deja_Vu_2_cover.png,https://en.wikipedia.org/wiki/Deja_Vu_II:_Lost_in_Las_Vegas,Adventure,description
